void_fraction,surface_area_m2g,pld,lcd,surface_area_m2cm3
0.97,7085,30.9,34.5,603
0.97,8518,33.1,34.7,571
0.47,664,6.9,7.7,641
0.78,2041,25.6,26.7,1239
0.97,8284,32.7,34.6,559
0.98,8549,32.1,35.2,532
0.98,7976,34.8,36.1,506
0.98,7204,36.4,38.5,473
0.98,8316,33.9,35.7,491
0.98,8321,34.2,35.3,501
0.98,8016,36.5,39.7,446
0.92,6127,13.2,17.4,1483
0.98,7833,36.1,39.2,453
0.98,8188,38.1,40.0,426
0.91,4605,41.7,43.2,1074
0.98,7310,38.4,40.4,404
0.98,8077,41.5,44.5,370
0.98,7651,41.9,44.2,360
0.98,7022,41.1,43.9,358
0.99,8811,44.6,46.9,324
0.99,8958,42.3,46.5,345
0.91,5741,13.3,16.3,1528
0.91,5726,14.4,17.4,1506
0.93,5573,17.5,19.8,1183
0.92,5477,16.9,19.9,1170
0.9,4555,38.7,40.2,1209
0.92,6033,17.5,20.9,1254
0.92,5661,16.8,20.0,1227
0.88,4766,11.6,14.0,1750
